word,mean_shap,abs_mean_shap,count,category,sentiment_type
健康,0.02084527180946,0.0217931221471598,26.0,その他,ポジティブ
進む,0.0208420333354817,0.021394793015913,7.0,その他,ポジティブ
見つけ,0.0208413778615795,0.0209167002275353,10.0,その他,ポジティブ
見れ,0.0208024437602446,0.0217025136376335,10.0,その他,ポジティブ
けど,0.0206972335565676,0.0246359275499745,69.0,その他,ポジティブ
構造,0.0206436584398943,0.020767301304204,8.0,その他,ポジティブ
臨む,0.0206291966227581,0.0206291966227581,6.0,その他,ポジティブ
つく,0.0206234442354478,0.0215149279466698,13.0,その他,ポジティブ
セル,0.0206125458978931,0.0225070309199509,10.0,その他,ポジティブ
受ける,0.0204942556219415,0.0213885346473544,85.0,その他,ポジティブ
経験,0.0204710602222326,0.0206004554829232,35.0,その他,ポジティブ
め,0.0203470290245604,0.0209187497137463,5.0,その他,ポジティブ
知ら,0.0203134318254029,0.0211380094471797,61.0,その他,ポジティブ
交流,0.0202704801481738,0.0202704801481738,16.0,その他,ポジティブ
論文,0.0202353899447189,0.0220217437898099,8.0,その他,ポジティブ
め,0.0201655526986581,0.0237745329866351,87.0,その他,ポジティブ
わかる,0.0201554205928984,0.0220715469879396,22.0,その他,ポジティブ
選び,0.0201461778326553,0.0223900263967585,5.0,その他,ポジティブ
繋,0.0201406715096074,0.0201406715096074,6.0,その他,ポジティブ
関,0.0201230525427804,0.0206123382518258,80.0,その他,ポジティブ
受け,0.0201098887075082,0.0208754171018097,151.0,その他,ポジティブ
実行,0.0199095203255031,0.0199095203255031,6.0,その他,ポジティブ
今,0.0198890902349445,0.0201651814588855,123.0,その他,ポジティブ
使い,0.0198448021175866,0.0201387092830494,46.0,その他,ポジティブ
考える,0.0198395480724917,0.0211512563068043,97.0,その他,ポジティブ
感じる,0.0197255329039506,0.0206798835305956,35.0,その他,ポジティブ
化学,0.0196850333821658,0.0212656825552411,39.0,学習効果,ポジティブ
yth,0.0196075651167322,0.0200591514811902,6.0,その他,ポジティブ
正しい,0.0195118256718463,0.0195118256718463,6.0,その他,ポジティブ
欲,0.019493301425889,0.0196366233865712,7.0,その他,ポジティブ
定着,0.0194882980218205,0.0199081356044732,19.0,その他,ポジティブ
研,0.0194422924074615,0.0194422924074615,8.0,その他,ポジティブ
あっ,0.019430042925094,0.0204727437721056,216.0,その他,ポジティブ
実感,0.0193583201529529,0.0206519119214984,18.0,その他,ポジティブ
こそ,0.019282452974221,0.019282452974221,5.0,その他,ポジティブ
ロボット,0.0192291264347659,0.0220791748921935,12.0,その他,ポジティブ
しい,0.0192179464752767,0.0216126520409625,28.0,その他,ポジティブ
応用,0.0191529076496123,0.021041383210342,58.0,その他,ポジティブ
参考,0.0191348504318048,0.0219912574066746,39.0,その他,ポジティブ
政策,0.0191146910699899,0.0192511132961954,5.0,その他,ポジティブ
実践,0.0189932927933914,0.0190647257670488,28.0,その他,ポジティブ
事件,0.0189721383559047,0.0199296821246277,6.0,その他,ポジティブ
マイ,0.0189486581815193,0.0189486581815193,6.0,その他,ポジティブ
ミニ,0.0188998913086274,0.0238745771077026,13.0,その他,ポジティブ
社会,0.018887679286451,0.0197131711399625,121.0,人間関係,ポジティブ
学習,0.0188819319857557,0.0204113986081522,141.0,学習効果,ポジティブ
チーム,0.0187983636320823,0.0191204628912115,25.0,その他,ポジティブ
専門,0.0187242329979547,0.0198306219483156,51.0,その他,ポジティブ
積極,0.0187205696991019,0.0194000671882335,87.0,その他,ポジティブ
早,0.0187027931071497,0.0233185992914513,10.0,その他,ポジティブ
ビー,0.0186563774057301,0.020984393921228,9.0,その他,ポジティブ
進め,0.0186429472590419,0.018874517752709,29.0,その他,ポジティブ
場所,0.0186009400519348,0.0188647916923703,6.0,その他,ポジティブ
討論,0.0185694909948021,0.0219919013191732,6.0,その他,ポジティブ
表現,0.0184331357606704,0.0191233679014168,13.0,その他,ポジティブ
法,0.0184299292594005,0.0210399354926266,32.0,その他,ポジティブ
プレゼンテーション,0.0184169220239326,0.0213069917966717,19.0,その他,ポジティブ
具体,0.0184121576213899,0.0190261679294442,25.0,その他,ポジティブ
デザイン,0.0183508234916523,0.0188852921153163,10.0,その他,ポジティブ
ご,0.018313524959376,0.0208518266852479,5.0,その他,ポジティブ
現代,0.0183065672536031,0.0196841640063212,14.0,その他,ポジティブ
受講,0.0182212040243775,0.0194449975297537,76.0,その他,ポジティブ
け,0.0181647634883293,0.0205340191054496,58.0,その他,ポジティブ
ce,0.0181565725536637,0.0187225080844116,22.0,その他,ポジティブ
たち,0.0181466335020899,0.0185669142323436,37.0,その他,ポジティブ
存在,0.0181280966367921,0.0181280966367921,5.0,その他,ポジティブ
すご,0.0180405982212652,0.0209028806371099,20.0,その他,ポジティブ
心配,0.0180199003538151,0.0241845709859382,14.0,その他,ポジティブ
こと,0.0180055380036893,0.0198950792029111,2382.0,その他,ポジティブ
人生,0.017981016569441,0.0226984756081947,12.0,その他,ポジティブ
与え,0.0179131493288358,0.0180976637202547,14.0,その他,ポジティブ
生物,0.0178341726037394,0.0184080071086293,33.0,その他,ポジティブ
反映,0.0177934257944798,0.0177934257944798,6.0,その他,ポジティブ
付き,0.0177793779298091,0.0232061971775414,7.0,その他,ポジティブ
昔,0.0176831776376881,0.0207809763420906,12.0,その他,ポジティブ
実際,0.0175870663813099,0.0197130281207664,52.0,その他,ポジティブ
もらえ,0.0175640204779257,0.0203673261818315,29.0,その他,ポジティブ
言葉,0.01752967894304,0.0189461484333151,19.0,その他,ポジティブ
紹介,0.0174771569706111,0.0174771569706111,14.0,その他,ポジティブ
貰,0.0174192850889604,0.0174192850889604,10.0,その他,ポジティブ
用語,0.0173958680752403,0.0230235544642145,13.0,その他,ポジティブ
まり,0.0173846876311402,0.0184965095227548,13.0,その他,ポジティブ
書け,0.017365195375903,0.0182129357536891,9.0,その他,ポジティブ
語,0.0173270871697917,0.0191562385329455,32.0,その他,ポジティブ
普段,0.0173166648293685,0.0200646771673269,42.0,その他,ポジティブ
法,0.0172689243423519,0.0172689243423519,5.0,その他,ポジティブ
人前,0.0171908153184631,0.0191916327145008,5.0,その他,ポジティブ
事,0.0171605723280822,0.0188328845260304,83.0,その他,ポジティブ
行わ,0.0171285483484098,0.0171285483484098,8.0,その他,ポジティブ
あり,0.017121026725337,0.0175989694109381,252.0,その他,ポジティブ
努め,0.0170993346668342,0.0170993346668342,6.0,その他,ポジティブ
my,0.0170879788904743,0.0174242087801404,13.0,その他,ポジティブ
この,0.0170851539573108,0.0173122655732085,288.0,その他,ポジティブ
深い,0.0170618997518821,0.0175573317226503,19.0,深い学び,ポジティブ
工学,0.0169563188248371,0.0174788604191233,21.0,学習効果,ポジティブ
似,0.016947725784525,0.0179316295543685,9.0,その他,ポジティブ
関わり,0.016783895033976,0.0172977184531451,8.0,その他,ポジティブ
場,0.0167638864393559,0.0168012942772096,12.0,その他,ポジティブ
対応,0.0167521535785181,0.0175354865861534,19.0,その他,ポジティブ
本当,0.0167401934111759,0.0168178431663714,21.0,その他,ポジティブ
頑,0.0165609501472744,0.016720767151101,244.0,その他,ポジティブ
共有,0.0164522998842585,0.0171200899880204,5.0,その他,ポジティブ
d,0.0163876733454264,0.0169810197446337,19.0,その他,ポジティブ
活動,0.0163471666959241,0.0172837373379374,55.0,その他,ポジティブ
取得,0.0163329051378259,0.0176983457623412,13.0,達成感,ポジティブ
加え,0.0162932185157188,0.0162932185157188,6.0,その他,ポジティブ
え,0.0162886209982194,0.0167097059933887,17.0,その他,ポジティブ
思う,0.0162646975309979,0.0189497050640821,194.0,その他,ポジティブ
自信,0.0162348427814625,0.0171750003137276,6.0,その他,ポジティブ
参加,0.0162213514246861,0.016896698824417,53.0,その他,ポジティブ
より,0.0162078030911738,0.0173249590955765,160.0,その他,ポジティブ
深く,0.0161988114000292,0.0175150103467832,71.0,深い学び,ポジティブ
作品,0.0161822847431418,0.0165294424481544,15.0,その他,ポジティブ
付ける,0.0161472744578979,0.0189403219168063,8.0,その他,ポジティブ
丈,0.0161315869224907,0.0229725672109069,80.0,その他,ポジティブ
分野,0.0161169021506586,0.0163630625907588,53.0,その他,ポジティブ
用い,0.0161129592567712,0.0165892287641638,30.0,その他,ポジティブ
懸命,0.0161052370982361,0.0182870222328347,5.0,その他,ポジティブ
意欲,0.0160938561025215,0.0179339424750131,21.0,その他,ポジティブ
文,0.0160876495008848,0.0186507771666653,8.0,その他,ポジティブ
発展,0.016045415209428,0.0161354596682163,22.0,その他,ポジティブ
プレゼン,0.0160375380829869,0.0172719895908797,19.0,その他,ポジティブ
助け,0.0160358462590885,0.0160358462590885,5.0,安心感,ポジティブ
生,0.0159993739780818,0.0164165301978189,40.0,その他,ポジティブ
詳しく,0.0159595803888881,0.0196870145862663,94.0,わかりやすさ,ポジティブ
方法,0.0159501675493196,0.0170160597513131,42.0,その他,ポジティブ
動画,0.0158746079640882,0.0176647694119308,110.0,その他,ポジティブ
協力,0.0158337495276063,0.018447764969837,45.0,その他,ポジティブ
英語,0.0157775382478626,0.0181184203950379,150.0,その他,ポジティブ
かつ,0.0157148331363714,0.0157917445516691,7.0,その他,ポジティブ
様々,0.0156871975384279,0.0167366166346639,97.0,その他,ポジティブ
ば,0.0156785393201966,0.0173222827690337,13.0,その他,ポジティブ
習っ,0.0156784501583027,0.0170770107306225,41.0,その他,ポジティブ
配信,0.0156720543323271,0.0158554036524968,9.0,その他,ポジティブ
読ん,0.0156328294363144,0.0156328294363144,15.0,その他,ポジティブ
起こっ,0.0156164056455357,0.0157698021569861,6.0,その他,ポジティブ
コミュニケーション,0.0154371455180222,0.0201548807959313,116.0,人間関係,ポジティブ
一番,0.0153121294434203,0.0175519122815183,11.0,その他,ポジティブ
統計,0.0153085077157705,0.0164997334754694,9.0,その他,ポジティブ
ござい,0.0153028765178354,0.0211146964522461,279.0,その他,ポジティブ
実験,0.0152702584262135,0.0194606654922674,84.0,その他,ポジティブ
形,0.0152668846371503,0.0166928754406399,13.0,その他,ポジティブ
韓国,0.0152030178243356,0.0152030178243356,14.0,その他,ポジティブ
ディ,0.0151646163620171,0.0168217415906838,10.0,その他,ポジティブ
初めて,0.0151596870319663,0.0164893479764235,66.0,機会・体験,ポジティブ
