natural,mean_shap,abs_mean_shap,std_shap,count
 いま,0.0086030039310571,0.0093746149897924,0.0099388890139641,5.0
 習,0.0085933142979532,0.013840233018224,0.014427425810732602,15.0
 まとめ,0.008537216560773,0.0142570534406724,0.0200133038904716,51.0
 か,0.0085315706510953,0.011821542455281598,0.0180171513616139,374.0
 不満,0.0085206558353093,0.0136092676017142,0.0181379408888003,5.0
 講義,0.0085142451969832,0.0131299012696719,0.0177549293295486,547.0
 家,0.008511386804788,0.0154327389427635,0.0206176384075858,11.0
 本質,0.0084878465870086,0.0084878465870086,0.0083156651925978,5.0
 国,0.0084830665402508,0.0122518340559903,0.0158986049461274,15.0
 ここ,0.0084684377982846,0.009736559958376498,0.0148688442216256,13.0
 型,0.0084526171788009,0.0119674766392563,0.0107919951441133,13.0
 質,0.00843575422914,0.0139386090855363,0.0138060934160131,7.0
 ラ,0.0084241840609643,0.0085338450891059,0.0099786795277276,9.0
 設計,0.0084201220895978,0.0088644926662816,0.0081132550181769,19.0
 グラフ,0.0083965698339203,0.0092231999100476,0.0113421845613905,7.0
 ませ,0.008387286579978,0.0103078966419346,0.0181696172755931,119.0
 る,0.0083850321751621,0.0093314686347487,0.0111270062512211,15.0
 中,0.0083831101249078,0.010058375981635,0.0131687632128876,173.0
 主,0.0083629757053987,0.0103314680387805,0.0101255650951575,17.0
 w,0.0083564809364384,0.0088346005739559,0.010135683827161,9.0
 なかった,0.008349525723841,0.0170752642195427,0.027403010299794,173.0
 観点,0.0083417436075786,0.0092515694677683,0.0130542351683686,7.0
 黒,0.0083158078050473,0.0120792322559282,0.020763107616715,8.0
